name,basePrice,daysToExpiry
Wild Boar - Tenderloin,$20.88,11
"Seedlings - Buckwheat, Organic",$29.74,10
"Bread - Bagels, Mini",$26.20,12
Bread - Italian Sesame Poly,$18.77,18
Urban Zen Drinks,$2.01,13
Miso - Soy Bean Paste,$19.57,7
Sage - Ground,$25.47,1
Passion Fruit,$16.01,1
Milk 2% 500 Ml,$10.87,8
Soup Bowl Clear 8oz92008,$2.40,3
Otomegusa Dashi Konbu,$20.03,27
Longos - Chicken Caeser Salad,$19.90,20
Wine - Pinot Noir Pond Haddock,$16.28,6
Vinegar - White Wine,$14.78,30
"Bread - Pullman, Sliced",$19.16,24
Rice - Brown,$10.77,20
Beef - Top Sirloin - Aaa,$21.53,14
Cookie - Oreo 100x2,$28.30,2
"Pail - 15l White, With Handle",$21.47,11
Garbage Bag - Clear,$5.27,21
Beer - Blue Light,$9.34,11
Butter Ripple - Phillips,$14.92,4
Muffin Chocolate Individual Wrap,$20.41,8
Puff Pastry - Sheets,$29.86,11
Broom - Angled,$19.79,23
Turkey Tenderloin Frozen,$20.71,19
Butter Ripple - Phillips,$4.58,12
"Pasta - Penne, Rigate, Dry",$18.30,18
Food Colouring - Green,$15.86,8
Mustard - Pommery,$28.79,22
"Lamb - Leg, Diced",$10.26,24
Avocado,$17.34,20
Gelatine Leaves - Envelopes,$18.24,13
"Mushroom - Chantrelle, Fresh",$26.94,22
"Pork - Tenderloin, Fresh",$9.64,26
Rabbit - Frozen,$18.60,1
Turnip - Wax,$23.86,15
"Beer - Alexander Kieths, Pale Ale",$1.74,8
Bread - Crusty Italian Poly,$14.35,1
Swiss Chard - Red,$23.62,12
"Tortillas - Flour, 10",$12.51,14
"Pepper - Paprika, Hungarian",$16.94,6
Carbonated Water - Orange,$4.75,23
Cheese - Roquefort Pappillon,$28.84,18
Lettuce - Treviso,$18.22,9
"Cheese - Cheddar, Old White",$5.41,17
Pastry - Key Limepoppy Seed Tea,$20.19,31
Numi - Assorted Teas,$17.20,28
Wine - Savigny - Les - Beaune,$13.01,20
Lamb - Sausage Casings,$2.15,25
Mussels - Frozen,$13.58,8
Swiss Chard,$25.82,22
"Tart Shells - Savory, 2",$7.34,9
Cheese Cheddar Processed,$19.71,31
Bagel - Plain,$20.39,2
Wiberg Cure,$14.07,22
Cheese - Mix,$14.24,8
Water - Spring Water 500ml,$13.66,18
Instant Coffee,$24.12,10
"Wine - Red, Mouton Cadet",$18.30,21
"Pasta - Penne, Lisce, Dry",$28.68,11
"Cheese - Manchego, Spanish",$8.30,13
Glycerine,$0.18,25
Milk - Buttermilk,$13.54,20
Couscous,$10.74,10
Bread - Hot Dog Buns,$21.76,28
Pimento - Canned,$17.42,21
Nut - Macadamia,$0.17,14
"Water, Tap",$24.14,27
Plate Pie Foil,$18.31,27
Tea - English Breakfast,$13.82,9
Flavouring - Raspberry,$2.93,14
Chives - Fresh,$5.97,18
Milk - Condensed,$5.29,24
Strawberries - California,$20.00,22
"Soup - Clam Chowder, Dry Mix",$19.35,1
"Juice - V8, Tomato",$26.07,12
Wine - German Riesling,$13.72,27
Cake - French Pear Tart,$19.50,26
Sauerkraut,$17.83,21
Wanton Wrap,$27.61,7
Towels - Paper / Kraft,$2.99,19
Coriander - Ground,$24.26,4
Muffin - Blueberry Individual,$0.98,28
Cabbage Roll,$1.04,24
"Turnip - White, Organic",$16.30,7
Milk - Buttermilk,$15.80,10
"Salmon - Atlantic, Fresh, Whole",$11.13,24
Pork - Kidney,$28.52,5
Wine - Remy Pannier Rose,$29.93,28
Wine - Pinot Noir Mondavi Coastal,$15.84,27
Coffee - Decafenated,$4.08,17
Flower - Commercial Spider,$18.94,14
Dc Hikiage Hira Huba,$16.19,10
Veal - Ground,$0.23,28
Muffin Hinge 117n,$13.23,16
